dataset,split_tag,seed,class,label_offset,mode,total,train,val,test,train_frac_in_class,val_frac_in_class,test_frac_in_class,keep_train,keep_val,keep_test,policy,N_labeled,train_ratio,val_ratio,per_class_train,per_class_val,target_train,target_val,target_test,actual_train,actual_val,actual_test,min_train_per_class_req,min_val_per_class_req,min_test_per_class_req,forced_train_fix,forced_val_fix,keep_violation_train,keep_violation_val,fixed_index,fixed_index_mat,fixed_val_per_class,fixed_train_key,fixed_test_key
honghu,pc30v10,0,1,1,per_class_fixed,14041,30,10,14001,0.002136599957268001,0.0007121999857560003,0.997151200056976,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,2,1,per_class_fixed,3512,30,10,3472,0.008542141230068337,0.0028473804100227792,0.9886104783599089,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,3,1,per_class_fixed,21821,30,10,21781,0.0013748224187709087,0.0004582741395903029,0.9981669034416388,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,4,1,per_class_fixed,163285,30,10,163245,0.00018372783782956182,6.124261260985394e-05,0.9997550295495606,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,5,1,per_class_fixed,6218,30,10,6178,0.004824702476680605,0.0016082341588935349,0.9935670633644259,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,6,1,per_class_fixed,44557,30,10,44517,0.0006732948807145903,0.00022443162690486342,0.9991022734923806,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,7,1,per_class_fixed,24103,30,10,24063,0.0012446583412853171,0.0004148861137617724,0.9983404555449529,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,8,1,per_class_fixed,4054,30,10,4014,0.00740009866798224,0.00246669955599408,0.9901332017760237,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,9,1,per_class_fixed,10819,30,10,10779,0.00277289952860708,0.0009242998428690267,0.9963028006285239,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
honghu,pc30v10,0,10,1,per_class_fixed,12394,30,10,12354,0.002420526060997257,0.0008068420203324189,0.9967726319186703,30,10,5,min_ok,386693,0.1,0.1,30,10,660,220,385813,660,220,385813,0,0,1,False,False,False,False,False,,-1,,
